RequiredQual,JobDescription,JobRequirment,Title,Combined
"- University degree in Linguistics or Law;
- Excellent knowledge of English, French and Armenian languages;
- Over 3 years of work experience in a similar position; 
- Knowledge of MS Office package;
- Technical awareness on operating fax machine, cop","""Yerevan Djur"" CJSC is looking for a candidate to
fulfill the position of the Administrative Assistant, who will report to
the General Director. The successful candidate will perform a wide
variety of clerical and organizational duties and will work closely with
General Director.","- Provide administrative assistance to the General Director;
- Draft and maintain daily correspondence, memoranda, circulars and
reports via oral instructions;
- Maintain office files and records, including incoming/ outgoing
correspondence, circulars",Administrative Assistant,"- University degree in Linguistics or Law; - Excellent knowledge of English, French and Armenian languages; - Over 3 years of work experience in a similar position;  - Knowledge of MS Office package; - Technical awareness on operating fax machine, copy ma"
"- Higher education;
- Fluency in English, Russian and Armenian languages;
- Work experience in a related field is preferable;
- Good computer skills;
- Good communication skills;
- Self-motivated personality.","We are looking for a candidate to fulfill the position
of Administrative Assistant.","- Answer telephone calls;
- Make translations from Armenian and Russian into English language and
vice versa;
- Arrange office administrative procedures;
- Perform other duties as required.",Administrative Assistant,"- Higher education; - Fluency in English, Russian and Armenian languages; - Work experience in a related field is preferable; - Good computer skills; - Good communication skills; - Self-motivated personality.We are looking for a candidate to fulfill the p"
"- Relevant University degree;
- Work experience in a relevant field;
- Good knowledge of AS accounting software;
- Good knowledge and understanding of Armenian Accounting standards,
financial rules and tax regulations;
- Ability to work under pressur","We are looking for a qualified candidate to fulfill
the position of Accountant.","The responsibilities include but are not limited
to:
- Handle daily transactions and accounting procedures;
- Manage accounts payable/ receivable and general ledger, including data
processing;
- Control fixed assets;
- Assist Chief Accountant in preparing various reports.",Accountant,"- Relevant University degree; - Work experience in a relevant field; - Good knowledge of AS accounting software; - Good knowledge and understanding of Armenian Accounting standards, financial rules and tax regulations; - Ability to work under pressure wit"
"- University degree in Economics or Marketing;
- Relevant work experience is a plus;
- Excellent knowledge of Russian and intermediate knowledge of English
languages;
- Advanced knowledge of MS Excel, Word and Outlook;
- Strong problem-solving skills","The Sales Manager will deal with trade representatives
and partners.","- Provide support to organize sales (receive and process orders from
customers);
- Provide customers with all necessary information on company products
and services; 
- Prepare financial documents;
- Register all the information about sold products;",Sales Manager,"- University degree in Economics or Marketing; - Relevant work experience is a plus; - Excellent knowledge of Russian and intermediate knowledge of English languages; - Advanced knowledge of MS Excel, Word and Outlook; - Strong problem-solving skills; - E"
"- Degree in Finance, Auditing, Accounting or a related field, or the
equivalent combination of education and experience;
- Successful, progressively responsible financial experience including
influence, development or implementation of financial report","Star Divide is looking for a Chief Accountant to work
for its ""Star"" Supermarkets Chain. The incumbent will plan, organize,
direct and control all accounting and fiscal management activities of
the Company.","- Manage financial reporting and accounting, accounts payable, accounts
receivable and collection operations;
- Manage preparation of accounting and operational reports, prepare
supporting financial documents, mandatory tax packages, working papers
fo",Chief Accountant,"- Degree in Finance, Auditing, Accounting or a related field, or the equivalent combination of education and experience; - Successful, progressively responsible financial experience including influence, development or implementation of financial reporting"
"- Degree in Computer Sciences;
- Proficiency in object oriented programming;
- Experience in XML, HTML, CSS and JavaScript;
- Experience in PHP and MySQL. Experience in C++ is a plus.","Smart Units LLC is looking for a person with deep
knowledge and practical experience in Web Development.","- Develop Web Applications in accordance with given specification;
- Read, understand and modify the existing code;
- Provide technical support and assistance, if requested.",PHP Developer,"- Degree in Computer Sciences; - Proficiency in object oriented programming; - Experience in XML, HTML, CSS and JavaScript; - Experience in PHP and MySQL. Experience in C++ is a plus.Smart Units LLC is looking for a person with deep knowledge and practica"
"- University degree in Economics or Marketing;
- Relevant work experience;
- Strong problem-solving skills;
- Excellent communication and presentation skills;
- Well-organized, responsible and result-oriented personality; 
- Ability to work under pre","The incumbent will work for Nushikian Association Co.
Ltd. and perform the duties to distribute mass market perfume products
at the Armenian market.","- Develop and maintain the distribution network for mass market perfume
products;
- Develop and implement marketing and sales strategies;
- Develop and conduct promotional campaigns;
- Merchandise products in POS; 
- Conduct marketing research and su",Brand Manager,"- University degree in Economics or Marketing; - Relevant work experience; - Strong problem-solving skills; - Excellent communication and presentation skills; - Well-organized, responsible and result-oriented personality;  - Ability to work under pressure"
"- Higher education;
- Relevant work experience is a plus;
- Excellent knowledge of Russian and intermediate knowledge of English
languages;
- Advanced knowledge of MS Excel, Word and Outlook;
- Strong problem-solving skills;
- Excellent communicatio","The incumbent will sell real estate in the territory
of Vahakni Community.","- Provide support in organizing sales (receive and process orders from
customers);
- Provide customers with all necessary information on company products
and services; 
- Conduct follow ups with potential customers;
- Register all the information abo",Sales Manager,"- Higher education; - Relevant work experience is a plus; - Excellent knowledge of Russian and intermediate knowledge of English languages; - Advanced knowledge of MS Excel, Word and Outlook; - Strong problem-solving skills; - Excellent communication and "
"- Bachelors or higher degree in Computer Sciences or a related
discipline with at least 2 years of work experience in software
development;
- 2 years of work experience in .Net Framework - ASP.Net/C#;
- Knowledge of other languages (C++, VB, Java) and","We are looking for a highly qualified person with deep
knowledge and practical experience in Web programming. The selected
candidate will be involved in all stages of the development life cycle.","- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate w",Web Developer,"- Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; - 2 years of work experience in .Net Framework - ASP.Net/C#; - Knowledge of other languages (C++, VB, Java) and web"
"- Degree in Finance, Auditing, Accounting or a related field, or the
equivalent combination of education and experience;
- Successful, progressively responsible financial experience (minimum 3
year) including influence, development or implementation of","We are looking for a qualified candidate to fulfill
the position of Accountant. The incumbent will be responsible for
preparing financial and accounting reports.","- Manage financial reporting and accounting;
- Manage preparation of accounting and operational reports, prepare
supporting financial documents, mandatory tax packages, working papers
for audits and various account analysis;
- Review, develop and enha",Accountant,"- Degree in Finance, Auditing, Accounting or a related field, or the equivalent combination of education and experience; - Successful, progressively responsible financial experience (minimum 3 year) including influence, development or implementation of fi"
"- Higher education in Finance, Auditing, Accounting or a related field;
- Minimum 3 years of financial work experience at local and/ or
international organizations including development or implementation of
financial reporting procedures and budgetary ","FADF is looking for a qualified candidate to fulfill
the position of Accountant.","- Manage financial reporting and accounting both in Armenian and English
languages;
- Manage preparation of accounting and operational reports, prepare
supporting financial documents, mandatory tax packages, working papers
for audits and various accou",Accountant,"- Higher education in Finance, Auditing, Accounting or a related field; - Minimum 3 years of financial work experience at local and/ or international organizations including development or implementation of financial reporting procedures and budgetary acc"
"- Good communication skills;
- Capacity of organized, responsible and creative work; 
- Fluent knowledge of Armenian language. Good command of Russian and
English languages;
- Computer skills (MS Word, MS Excel and Internet);
- Database collecting sk","We are looking for a candidate to fulfill the position
of Executive Assistant.","- Assist in IDHR's projects;
- Update IDHRs databases;
- Organize meetings; 
- Copy and file office related materials and documents.",Executive Assistant,"- Good communication skills; - Capacity of organized, responsible and creative work;  - Fluent knowledge of Armenian language. Good command of Russian and English languages; - Computer skills (MS Word, MS Excel and Internet); - Database collecting skills."
"- University degree;
- Experience in designing Web Services (SOAP, WSDL, etc.);
- Excellent knowledge of XML;
- Excellent knowledge of English language;
- At least 3 years of work experience with MS development tools
(especially in C#);
- Knowledge ","LinkGard Systems, LLC is seeking highly experienced
Senior Software Engineers (five engineers in total) who can design and
develop Enterprise Resource Management applications using SOAP
technology.","- Work as part of a software development team;
- Design and analyze software applications;
- Develop applications using C# and other .NET languages;
- Write documentation in English language.",Software Engineer,"- University degree; - Experience in designing Web Services (SOAP, WSDL, etc.); - Excellent knowledge of XML; - Excellent knowledge of English language; - At least 3 years of work experience with MS development tools (especially in C#); - Knowledge of C/ "
"- Excellent knowledge of Armenian, Russian and English languages;
- Knowledge of MS Office and Internet.","The incumbent will perform, coordinate and oversee
technical and office administrative duties in support of the company.","- Perform a wide variety of executive secretarial and administrative
duties as required by daily operations in the office;
- Coordinate office activities and schedules, develop and recommend
office procedures and systems as well as ensure smooth office",Administrative Assistant,"- Excellent knowledge of Armenian, Russian and English languages; - Knowledge of MS Office and Internet.The incumbent will perform, coordinate and oversee technical and office administrative duties in support of the company.- Perform a wide variety of exe"
"- Bachelor's degree in Economics and/ or Marketing;
- At least 2 years of relevant work experience;
- Good negotiation and communication skills;    
- Good knowledge of Armenian and English languages (written and spoken).
Knowledge of another foreign ","We are looking for a candidate to fulfill the position
of Marketing Manager.","- Prepare market research and analysis;
- Carry out project planning;
- Work on survey analysis and implementation.
- Manage events.",Marketing Manager,- Bachelor's degree in Economics and/ or Marketing; - At least 2 years of relevant work experience; - Good negotiation and communication skills;     - Good knowledge of Armenian and English languages (written and spoken). Knowledge of another foreign lang
"- Bachelor's or Master's degree in Computer Sciences;
- Over 1 year of work experience in Java Development;
- Good knowledge of English language (both written and spoken).","We are looking for a Java Developer with strong
knowledge of relationship database.","- Strong knowledge of Java and Servlet 2.2;
- Knowledge on one of the following relationship database management
systems: SQL Server 2000, My-SQL or Oracle 9i Enterprise;
- Work experience with XML, XSL, JSP 1.1, Apache +; 
- Work experience with Jaka",Java Developer,- Bachelor's or Master's degree in Computer Sciences; - Over 1 year of work experience in Java Development; - Good knowledge of English language (both written and spoken).We are looking for a Java Developer with strong knowledge of relationship database.-
"- Minimum Bachelor's degree;
- Minimum 3 years of relevant work experience. Work experience in
international organizations is preferred;
- Good communication skills;
- Diligence and proven planning capacity and openness to new ideas;
- Good knowledge","The incumbent will work for the Outreach and Medical
Training Program and under the overall supervision of the Country
Director.","- Carry out routine processing of office papers, documents and official
correspondence, draft correspondence relating to program implementation.
Clarify, follow up and respond to requests for information when
appropriate;
- Make translation of corresp",Administrative Assistant,- Minimum Bachelor's degree; - Minimum 3 years of relevant work experience. Work experience in international organizations is preferred; - Good communication skills; - Diligence and proven planning capacity and openness to new ideas; - Good knowledge of m
"- University degree in Health Care;
- Work experience in Health Care related position is desirable;
- Knowledge of Armenian, Russian and English languages; 
- Some knowledge of marketing is desirable.","ABC Pharmaceuticals is looking for a qualified Medical
Doctor to work as its Medical Representative in Armenia.","- Make visits to doctors in hospitals and clinics on daily basis;
- Promote the company's drugs in Armenia;
- Organize local medical meetings and marketing actions by Managers
instructions.",Medical Representative,"- University degree in Health Care; - Work experience in Health Care related position is desirable; - Knowledge of Armenian, Russian and English languages;  - Some knowledge of marketing is desirable.ABC Pharmaceuticals is looking for a qualified Medical "
"- Excellent communication skills;
- Good oral and written communication skills in Armenian and English
languages, knowledge of Russian language is a plus;
- Basic computer and internet/ e-mail skills.","The incumbent will work under the direct supervision
of the company President and be primarily responsible for covering the
front.","- Answer telephone calls and inquiries, forward calls to relevant staff
or take messages during their abscence; 
- Provide interested parties/ visitors with relevant information when
possible;
- Greet visitors and guide them to appropriate staff;
- M",Receptionist/ Administrative Assistant,"- Excellent communication skills; - Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; - Basic computer and internet/ e-mail skills.The incumbent will work under the direct supervision of"
"- Associates degree in Accounting (or equivalent years of experience);
- Relevant computer skills, including Excel; 
- Fluency in English and Armenian languages;
- 4-6 years of relevant experience in accounting/ bookkeeping;
- Experience in accounts p","We are looking for a candidate to fulfill the position
of Accountant.","- Handle cash operations, including cash withdrawal, cash payments and
office petty cash;
- Maintain invoices and other financial documentation related to
administrative functions; 
- Manage accounts payable (generating expense reports and preparing
",Accountant,"- Associates degree in Accounting (or equivalent years of experience); - Relevant computer skills, including Excel;  - Fluency in English and Armenian languages; - 4-6 years of relevant experience in accounting/ bookkeeping; - Experience in accounts payab"
"- Higher education;
- Fluency in English, Russian and Armenian languages;
- Work experience in a related field is preferable;
- Good computer skills;
- Good communication skills;
- Self-motivated personality.","We are looking for a candidate to fulfill the position
of Administrative Assistant.","- Answer telephone calls;
- Make translations from Armenian and Russian into English language and
vice versa;
- Arrange office administrative procedures;
- Perform other duties as required.",Administrative Assistant,"- Higher education; - Fluency in English, Russian and Armenian languages; - Work experience in a related field is preferable; - Good computer skills; - Good communication skills; - Self-motivated personality.We are looking for a candidate to fulfill the p"
"- Associates degree in Accounting (or equivalent years of experience);
- Relevant computer skills, including Excel; 
- Well organized personality.","We are looking for a candidate to fulfill the position
of Accountant.","- Handle cash operations, including cash withdrawal, cash payments and
office petty cash;
- Maintain invoices and other financial documentation related to
administrative functions; 
- Manage accounts payable (generating expense reports and preparing
",Accountant,"- Associates degree in Accounting (or equivalent years of experience); - Relevant computer skills, including Excel;  - Well organized personality.We are looking for a candidate to fulfill the position of Accountant.- Handle cash operations, including cash"
"- Master's degree in Computer Sciences;
- Proficiency in object oriented programming and experience in C++;
- 3 years of work experience in .Net Framework - ASP.Net/C# and
ADO.Net;
- Good knowledge of SQL Server 2000 and proficiency with T-SQL;
- Exp","AltaCode is looking for a highly qualified and
motivated person with deep knowledge and practical experience in object
oriented programming and Web Development.","- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Assist in the development of accompanying Technical Documenta",Software Developer,- Master's degree in Computer Sciences; - Proficiency in object oriented programming and experience in C++; - 3 years of work experience in .Net Framework - ASP.Net/C# and ADO.Net; - Good knowledge of SQL Server 2000 and proficiency with T-SQL; - Experien
"- Associates degree in Accounting (or equivalent years of experience);
- Relevant computer skills, including 1C and Excel; 
- Well organized personality.","We are looking for a candidate to fulfill the position
of Accountant.","- Handle cash operations, including cash withdrawal, cash payments and
office petty cash;
- Maintain invoices and other financial documentation related to
administrative functions; 
- Manage accounts payable (generating expense reports and preparing
",Accountant,"- Associates degree in Accounting (or equivalent years of experience); - Relevant computer skills, including 1C and Excel;  - Well organized personality.We are looking for a candidate to fulfill the position of Accountant.- Handle cash operations, includi"
"- 1 year of relevant work experience;
- Excellent English language skills;
- Computer literacy (Word, Excel, etc.)
- Interpersonal and organizational skills","The incumbent will work on USAID-funded Residential
Heating Project. The office manager will ensure implementation of best
practices and professional standards as well as compliance with USAID
regulations and policies and Chemonics corporate policies with regard
to office management. S/he will serve as a resource for the technical
staff and other administrative staff on the subject of office
management.","- Provide direction, oversight, feedback and support to drivers and
facilities staff as well as office-related service providers;
- Provide professional development opportunity to drivers and facilities
staff;
- Perform regular performance evaluations",Office Manager,"- 1 year of relevant work experience; - Excellent English language skills; - Computer literacy (Word, Excel, etc.) - Interpersonal and organizational skillsThe incumbent will work on USAID-funded Residential Heating Project. The office manager will ensure"
"- Higher education;
- Fluency in English, Russian and Armenian languages;
- Work experience in a related field is preferable;
- Good computer skills;
- Good communication skills;
- Self-motivated personality.","We are looking for a candidate to fulfill the
position
of Administrative Assistant.","- Answer telephone calls;
- Make translations from Armenian/ Russian languages into English
language and vice versa;
- Arrange office administrative procedures;
- Perform other duties as required.",Administrative Assistant,"- Higher education; - Fluency in English, Russian and Armenian languages; - Work experience in a related field is preferable; - Good computer skills; - Good communication skills; - Self-motivated personality.We are looking for a candidate to fulfill the p"
"- Bachelors or higher degree in Computer Sciences or a related
discipline with at least 2 years of work experience in software
development;
- 2 years of work experience in .Net Framework - ASP.Net/C#;
- Knowledge of other languages (C++, VB, Java) and","We are looking for a highly qualified person with deep
knowledge and practical experience in Web programming. The selected
candidate will be involved in all stages of the development life cycle.","- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate w",Web Developer,"- Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; - 2 years of work experience in .Net Framework - ASP.Net/C#; - Knowledge of other languages (C++, VB, Java) and web"
"- Higher education;
- Excellent knowledge of English and Armenian languages;
- Computer skills;
- Customer oriented personality.","We are looking for an enthusiastic person to fulfill
the position of Office Manager. The incumbent will serve customers and
control the web-site of the company.","- Control the web-site of the company;
- Answer telephone calls and e-mails;
- Contact partners and clients;
- Make translation of contents of the web-site from English into
Armenian language and vice versa.",Office Manager,- Higher education; - Excellent knowledge of English and Armenian languages; - Computer skills; - Customer oriented personality.We are looking for an enthusiastic person to fulfill the position of Office Manager. The incumbent will serve customers and con
"- Excellent knowledge of Word, Excel and Internet;
- Good knowledge of Corel Draw and Photoshop;
- Fluency in Armenian and Russian languages. Good knowledge of English
language.","HRH is looking for a candidate to fulfill the position
of Office Manager.
Working hours: 10:00 a.m. - 10:00 a.m. (24 hours work, 2 days free).","- Provide computer/ Internet services;
- Make translations;
- Answer telephone calls;
- Make copy and fax.",Office Manager,"- Excellent knowledge of Word, Excel and Internet; - Good knowledge of Corel Draw and Photoshop; - Fluency in Armenian and Russian languages. Good knowledge of English language.HRH is looking for a candidate to fulfill the position of Office Manager. Work"
"- Higher education in a relevant field;
- Good knowledge of .Net Framework  VB.Net or/ and C# and ADO.Net;
- Good knowledge of Oracle and MS SQL Server;
- Good knowledge of PL/ SQL is a plus;
- Good knowledge of Crystal Reports is a plus;
- Work expe","We are looking for a highly qualified person with deep
knowledge and practical experience in client-server and Web programming.","- Develop Database Applications in accordance with given
specifications;
- Develop Web Applications in accordance with given specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the exis",Software Developer,- Higher education in a relevant field; - Good knowledge of .Net Framework  VB.Net or/ and C# and ADO.Net; - Good knowledge of Oracle and MS SQL Server; - Good knowledge of PL/ SQL is a plus; - Good knowledge of Crystal Reports is a plus; - Work experienc
"- University degree in Finance or Accounting;
- Previous work experience is a plus;
- Fluency in Armenian, Russian and English languages;
- Knowledge of RA Tax Legislation;
- Computer skills (AS Accountant and Ms Office);
- Good analytical skills.","We are looking for a qualified Accountant capable of
handling proper financial procedures within the framework of Company's
activities.","- Maintain invoices and other financial documentation related to
administrative functions; 
- Keep accounting of warehouse materials;
- Conduct book keeping of property, obligations and economic operations;
- Perform other related duties as assigned.",Accountant,"- University degree in Finance or Accounting; - Previous work experience is a plus; - Fluency in Armenian, Russian and English languages; - Knowledge of RA Tax Legislation; - Computer skills (AS Accountant and Ms Office); - Good analytical skills.We are l"
"- Experience with XML, HTML, CSS, Adobe Photoshop, Windows operating
systems and other Web related services;
- Basic knowledge of Java Script and Macromedia Flash;
- Strong problem-solving skills;
- Good knowledge of technical English language. Good k","The primary objective of the Web Developer position is
to produce the required product by following processes in conjunction
with team members.","- Create innovative and elegant web designs to meet current business
needs;
- Develop websites with HTML and Java Script;
- Be responsible for given tasks and accomplish those on time;
- Work as part of a web development team;
- Have a command of cur",Web Developer,"- Experience with XML, HTML, CSS, Adobe Photoshop, Windows operating systems and other Web related services; - Basic knowledge of Java Script and Macromedia Flash; - Strong problem-solving skills; - Good knowledge of technical English language. Good knowl"
"- University degree;
- Management experience would be a plus;
- Excellent interpersonal skills;
- Highly developed critical thinking;
- Organizational, problem solving, negotiation, communication and PR
skills to interact with a broad range of partne","Promo International is looking for highly qualified
candidates to fulfill the position of Project Manager.","- Organize and coordinate retail and consumer promotion activities; 
- Conduct negotiations with clients and make presentations on
Promotional Activities;
- Train and recruit the team;
- Plan and control stuff members' working time and analyze their
",Project Manager,"- University degree; - Management experience would be a plus; - Excellent interpersonal skills; - Highly developed critical thinking; - Organizational, problem solving, negotiation, communication and PR skills to interact with a broad range of partners an"
"- University degree, preferably majoring in English language;
- Excellent writing skills;
- Relevant work experience is preferred;
- Strong interpersonal and presentation skills; 
- Fluency in Armenian, English and Russian languages.","Vem Radio Station is seeking a qualified
Administrative Assistant for its School Project, aimed at developing new
learning approaches and techniques to contribute to the establishment of
a quality educational environment in Armenia.","Duties include, but are not limited to:
- Manage general operations of the project;
- Write proposals and letters;
- Coordinate project activities;
- Set up meetings;
- Perform other related administrative tasks.",Administrative Assistant,"- University degree, preferably majoring in English language; - Excellent writing skills; - Relevant work experience is preferred; - Strong interpersonal and presentation skills;  - Fluency in Armenian, English and Russian languages.Vem Radio Station is s"
"- Higher education preferably in Accounting;
- Excellent knowledge of Italian, English, Russian and Armenian
languages;
- Proficiency in computer (MS Office and Internet);
- Self-motivated, communicative and customer oriented personality.","Under the overall supervision of the Director the
Administrative Assistant will be responsible for organizing office
documentation, regulating foreign calls, correspondence, making offers/
orders as per customer request and translating.","- Act as the Directors Assistant undertaking all the required tasks;
- Deal with customers making offers and contracts;
- Make appointments, maintain telephone calls and filing;
- Provide general support services;
- Deal with foreign partners;
- Make",Administrative Assistant,"- Higher education preferably in Accounting; - Excellent knowledge of Italian, English, Russian and Armenian languages; - Proficiency in computer (MS Office and Internet); - Self-motivated, communicative and customer oriented personality.Under the overall"
"- Higher education, preferably in Accounting/ Finance/ Economics. ACCA
is an advantage; 
- Availability of Qualification Certificate from Ministry of Finance;
- At least two years of experience as an Accountant or similar position
with reporting to lo","Resolution Consultants LLC is looking for a motivated,
self-driven, highly professional candidate for the part-time position of
Chief Accountant. The successful candidate will be responsible for
overall accounting of the company.","- Make daily transactions and accounting entries;
- Make financial reports for the stakeholders;
- Prepare financial statements for the holding company on monthly
basis;
- Make reports to the appropriate regulatory authorities (CBA, State Tax
Service",Chief Accountant,"- Higher education, preferably in Accounting/ Finance/ Economics. ACCA is an advantage;  - Availability of Qualification Certificate from Ministry of Finance; - At least two years of experience as an Accountant or similar position with reporting to local "
"- University degree in Finance or Accounting;
- Knowledge of Accounting software 1C and others;
- Fluency in Russian and Armenian languages;
- 3 years of work experience as a Chief Accountant in a large company;
- Knowledge of Armenian Tax and Customs","The incumbent will plan, organize, direct and control
all accounting and fiscal activities of UBA.","- Be responsible for financial issues arrangement and supervision;
- Prepare the budget;
- Prepare and maintain accounting and Taxation documentation, in
accordance with legislation requirements;
- Coordinate monthly and yearly closings accurately and",Chief Accountant,- University degree in Finance or Accounting; - Knowledge of Accounting software 1C and others; - Fluency in Russian and Armenian languages; - 3 years of work experience as a Chief Accountant in a large company; - Knowledge of Armenian Tax and Customs law
"- University degree in Accounting;
- 5 years of relevant work experience;
- Excellent knowledge of accepted accounting standarts and procedures,
local accounting & tax practices and regulations;
- Good knowledge of English and Armenian languages;
- G","EMG is seeking staff for USAID-funded, multi-year
project in Armenia, supporting health sector reform activities to
increase utilization of sustainable, high-quality primary healthcare
services.
The accountant will be responsible for the overall daily bookkeeping.","- Overall daily bookkeeping with ""Armenian Software"" accounting system;
- Salary calculations;
- Cash reconciliation;
- Other related taks as assigned.",Accountant,"- University degree in Accounting; - 5 years of relevant work experience; - Excellent knowledge of accepted accounting standarts and procedures, local accounting & tax practices and regulations; - Good knowledge of English and Armenian languages; - Good k"
"- Bachelor's in Computer Sciences, Information Technology or a related
discipline. Masters degree is preferred; 
- Good knowledge of Object Oriented Programming;
- At least 5 years of professional experience in software development;
- Strong Java prog","The responsibilities of this position are focused on
core software development tasks in Synergy International Systems, Inc.
This position will be filled by a Software Developer with a proven
history of producing quality software product in a commercial setting
with experience in all aspects of the software development process,
including design, implementation, testing and delivery.","- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software; 
- Perform other related tasks as assigned in the precise and timely
manner; 
- Document ",Java Developer,"- Bachelor's in Computer Sciences, Information Technology or a related discipline. Masters degree is preferred;  - Good knowledge of Object Oriented Programming; - At least 5 years of professional experience in software development; - Strong Java programm"
"- University degree in Finance or Accounting;
- Knowledge of Accounting software AS-trade is preferable;
- Excellent knowledge of Armenian Tax and Customs Laws;
- Work experience in import area for the last 2 years;
- Good computer skills.","The incumbent will carry out, organize and control all
accounting and fiscal activities in import area.","- Prepare the budget;
- Prepare and maintain accounting and Taxation documentation, in
accordance with legislation requirements;
- Coordinate monthly and yearly closings accurately and on time;
- Prepare and submit tax, as well as pension funds and st",Chief Accountant,- University degree in Finance or Accounting; - Knowledge of Accounting software AS-trade is preferable; - Excellent knowledge of Armenian Tax and Customs Laws; - Work experience in import area for the last 2 years; - Good computer skills.The incumbent wi
"- Higher education diploma;
- At least two years of professional experience, preferably in
international organizations;
- Excellent oral and written communication skills in Armenian and
English languages; 
- Proficiency in computer (MS Office and Int","The Administrative Assistant shall be a resident
professional assigned to work under the direction of PA Government
Services Inc. (PA) management to provide services and supplies in
furtherance of PA's activities in Armenia and abroad.","- Keep track of staff attendance and review monthly timesheets;
- Monitor and keep records of the office supply and prepare list of
needed items;
- File incoming and outgoing correspondence;
- Create organization database including data inputting, per",Administrative Assistant,"- Higher education diploma; - At least two years of professional experience, preferably in international organizations; - Excellent oral and written communication skills in Armenian and English languages;  - Proficiency in computer (MS Office and Internet"
"- Higher education diploma;
- Work experience in a related field is preferred;
- Proficiency in computer (MS Office, Internet and Power Point);
- Fluency in English, Russian and Armenian languages;
- Good communication skills;
- Self-motivated person","Under overall supervision of the President the
Administrative Assistant will be responsible for the NPCL's official
correspondence, secretarial assistance and for making translations.","- Draft letters for official correspondence;
- Provide secretarial assistance (typing, translation, etc.);
- Act as office receptionist;
- Act as interpreter and translator when required;
- Perform other administrative duties as required.",Administrative Assistant,"- Higher education diploma; - Work experience in a related field is preferred; - Proficiency in computer (MS Office, Internet and Power Point); - Fluency in English, Russian and Armenian languages; - Good communication skills; - Self-motivated personality"
"- Relevant degree and experience in Accounting;
- Education/ experience must include bank reconciliations, journal
writing, general ledger, financial statements, and government tax
reports; 
- Knowledge of accounting theory and financial analysis; 
-","The incumbent will assist in maintaining financial
records by preparing accounting reports and statements, reconciling
accounts, and processing/ reviewing journal entries and vouchers.","- Handle monthly reconciliations of the specified bank accounts;
- Liaise with International and Support offices in regard to
reconciliations;
- Assist the Senior Accountant in preparation/ extraction of monthly
financial accounts, including computer ",Accountant,"- Relevant degree and experience in Accounting; - Education/ experience must include bank reconciliations, journal writing, general ledger, financial statements, and government tax reports;  - Knowledge of accounting theory and financial analysis;  - Expe"
"- University degree in Computer Sciences or a relevant;
- Knowledge of ASP, VBScript, SQL and MS SQL server;
- Knowledge of PHP, HTML, JavaScript and CSS;
- Knowledge of Apache module and Linux environments;
- Experience in high load systems;
- Good ","Accept Employment Agency is looking for motivated
persons to take over a new position as a Software Developer for
pan-European network of websites, operating in eight European countries
company. The incumbent will belong to a young and dynamic team working
with the advertising system and its existing interfaces. He/she will
work on very different projects like customisation of the system,
building of complex new interfaces, further development of our reporting
tools. During those projects he/she will also work together with
colleagues in different European countries.","- Learn and understand the AdServing technology (DART Enterprise) and
its functionality. Understand the surrounding systems and the system
architecture as it maps to the company's business needs;
- Act as an expert in customising and integrating the Ad",Software Developer,"- University degree in Computer Sciences or a relevant; - Knowledge of ASP, VBScript, SQL and MS SQL server; - Knowledge of PHP, HTML, JavaScript and CSS; - Knowledge of Apache module and Linux environments; - Experience in high load systems; - Good knowl"
"- Bachelors or higher degree in Computer Sciences or a related
discipline with at least 2 years of work experience in software
development;
- 2 years of work experience in .Net Framework - ASP.Net/C#;
- Knowledge of other languages (C++, VB, Java) and","We are looking for a highly qualified person with deep
knowledge and practical experience in Web programming. The selected
candidate will be involved in all stages of the development life cycle.","- Develop Web Applications in accordance with given Specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate w",Web Developer,"- Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; - 2 years of work experience in .Net Framework - ASP.Net/C#; - Knowledge of other languages (C++, VB, Java) and web"
"- University degree in Economics or Marketing;
- Relevant work experience;
- Excellent knowledge of Armenian, and intermediate knowledge of Russian
and English languages;
- Advanced knowledge of MS Excel, Word and Outlook;
- Strong problem-solving sk","Business Depot International Services LLC is looking
for candidates to fulfill the position of Sales Manager.","- Provide support to organize sales (receive and process orders from
customers);
- Provide customers with all necessary information on company products
and services; 
- Answer customer's telephone inquiries;
- Provide assistance and support in releva",Sales Manager,"- University degree in Economics or Marketing; - Relevant work experience; - Excellent knowledge of Armenian, and intermediate knowledge of Russian and English languages; - Advanced knowledge of MS Excel, Word and Outlook; - Strong problem-solving skills;"
